usia,jenis_kelamin,pekerjaan,durasi_tidur_menit,sering_terbangun_malam,mimpi_buruk,screen_sebelum_tidur,minum_kopi_hari_ini,merokok,konsumsi_alkohol,jam_kerja_menit,tingkat_beban_kerja,deadline_hari_ini,lembur,waktu_outdoor,aktivitas_hobi,suasana_hati,tingkat_kecemasan,tingkat_energi,konsentrasi,interaksi_sosial,konflik_interpersonal,merasa_kesepian,support_sistem,meditasi,stress_level
36,Perempuan,Karyawan,406.0,Tidak,Tidak,30.0,Tidak,Tidak,Tidak,351.0,2,Tidak,Tidak,88.0,Tidak,Campur,1.0,5,4,3,Tidak,Tidak,4,Ya,1
24,Perempuan,Mahasiswa,428.0,Tidak,Tidak,4.0,Tidak,Tidak,Tidak,341.0,1,Tidak,Tidak,126.0,Ya,Positif,1.2,4,4,4,Tidak,Ya,4,Ya,1
21,Perempuan,Karyawan,509.0,Tidak,Tidak,42.0,Tidak,Tidak,Tidak,259.0,1,Ya,Tidak,101.0,Tidak,Positif,2.0,4,4,4,Tidak,Tidak,4,Tidak,1
29,Perempuan,Karyawan,472.0,Tidak,Tidak,20.0,Tidak,Tidak,Tidak,283.0,2,Tidak,Tidak,104.0,Tidak,Positif,2.4,4,4,4,Tidak,Tidak,4,Tidak,1
44,Laki-laki,Mahasiswa,434.0,Tidak,Tidak,83.0,Ya,Tidak,Tidak,625.0,2,Tidak,Ya,32.0,Ya,Netral,3.0,4,3,3,Tidak,Tidak,4,Tidak,2
38,Laki-laki,Guru,405.0,Tidak,Tidak,44.0,Tidak,Tidak,Ya,499.0,2,Ya,Tidak,63.0,Tidak,Negatif,3.3,4,3,2,Ya,Tidak,3,Tidak,2
26,Laki-laki,Freelancer,435.0,Ya,Tidak,36.0,Tidak,Tidak,Tidak,378.0,1,Tidak,Tidak,105.0,Tidak,Positif,1.3,5,3,3,Tidak,Tidak,4,Ya,1
43,Laki-laki,Karyawan,264.0,Ya,Tidak,60.0,Ya,Tidak,Tidak,432.0,3,Tidak,Ya,3.0,Tidak,Campur,3.3,3,4,3,Tidak,Tidak,3,Tidak,2
50,Perempuan,Wirausaha,417.0,Tidak,Tidak,48.0,Tidak,Tidak,Tidak,376.0,2,Ya,Ya,112.0,Ya,Positif,1.9,5,4,5,Tidak,Tidak,4,Ya,1
46,Perempuan,Guru,595.0,Ya,Tidak,51.0,Tidak,Tidak,Tidak,321.0,3,Ya,Tidak,111.0,Ya,Positif,1.5,4,5,3,Tidak,Tidak,5,Ya,1
36,Perempuan,Wirausaha,478.0,Tidak,Tidak,97.0,Tidak,Tidak,Ya,411.0,3,Tidak,Tidak,23.0,Tidak,Campur,2.6,2,2,3,Tidak,Tidak,3,Tidak,2
42,Perempuan,Guru,375.0,Ya,Tidak,70.0,Tidak,Ya,Tidak,500.0,3,Tidak,Ya,91.0,Tidak,Campur,2.2,3,3,3,Tidak,Tidak,4,Tidak,2
47,Laki-laki,Freelancer,308.0,Ya,Ya,83.0,Tidak,Tidak,Tidak,590.0,4,Ya,Ya,0.0,Tidak,Negatif,3.8,1,2,2,Tidak,Tidak,2,Tidak,3
43,Laki-laki,Dokter,460.0,Tidak,Tidak,5.0,Tidak,Ya,Tidak,302.0,2,Tidak,Tidak,82.0,Tidak,Positif,2.2,4,4,3,Tidak,Tidak,4,Ya,1
29,Perempuan,Freelancer,485.0,Ya,Ya,60.0,Ya,Tidak,Tidak,489.0,3,Ya,Tidak,61.0,Tidak,Campur,3.3,3,3,2,Tidak,Ya,3,Tidak,2
34,Laki-laki,Mahasiswa,475.0,Ya,Ya,59.0,Ya,Ya,Tidak,532.0,3,Tidak,Tidak,95.0,Ya,Campur,3.2,3,2,3,Ya,Ya,3,Ya,2
19,Perempuan,Guru,548.0,Tidak,Tidak,35.0,Ya,Tidak,Tidak,371.0,3,Tidak,Tidak,54.0,Ya,Netral,1.9,4,5,4,Tidak,Tidak,5,Ya,1
40,Perempuan,Karyawan,359.0,Ya,Tidak,82.0,Tidak,Tidak,Tidak,507.0,4,Ya,Tidak,87.0,Ya,Campur,2.5,2,3,4,Tidak,Ya,2,Tidak,2
21,Perempuan,Karyawan,597.0,Tidak,Tidak,19.0,Tidak,Tidak,Tidak,376.0,2,Tidak,Tidak,75.0,Ya,Negatif,1.8,5,3,5,Tidak,Tidak,4,Tidak,1
27,Laki-laki,Karyawan,473.0,Ya,Tidak,0.0,Tidak,Tidak,Tidak,443.0,2,Tidak,Tidak,66.0,Ya,Positif,2.0,5,4,4,Tidak,Tidak,4,Tidak,1
33,Laki-laki,Karyawan,390.0,Tidak,Tidak,56.0,Tidak,Ya,Tidak,679.0,4,Ya,Ya,34.0,Tidak,Campur,4.6,1,3,3,Ya,Tidak,1,Tidak,3
24,Laki-laki,Karyawan,418.0,Tidak,Tidak,87.0,Ya,Tidak,Tidak,591.0,4,Ya,Ya,14.0,Tidak,Campur,3.6,1,2,3,Ya,Tidak,2,Tidak,3
41,Perempuan,Karyawan,237.0,Tidak,Ya,80.0,Ya,Tidak,Tidak,511.0,4,Ya,Tidak,95.0,Tidak,Negatif,3.3,3,1,1,Ya,Ya,2,Tidak,3
18,Laki-laki,Freelancer,459.0,Tidak,Ya,29.0,Tidak,Tidak,Tidak,410.0,3,Tidak,Tidak,85.0,Tidak,Positif,1.8,5,5,4,Tidak,Tidak,4,Tidak,1
32,Laki-laki,Irt,488.0,Tidak,Tidak,49.0,Ya,Tidak,Tidak,307.0,2,Tidak,Tidak,97.0,Ya,Positif,1.4,4,5,3,Tidak,Tidak,5,Ya,1
40,Laki-laki,Dokter,291.0,Ya,Ya,73.0,Ya,Tidak,Ya,479.0,4,Tidak,Ya,63.0,Tidak,Campur,4.1,1,2,3,Ya,Tidak,2,Tidak,3
40,Perempuan,Karyawan,331.0,Ya,Tidak,56.0,Tidak,Ya,Tidak,470.0,3,Ya,Ya,33.0,Tidak,Negatif,2.5,3,2,3,Ya,Ya,3,Ya,2
26,Perempuan,Irt,462.0,Ya,Tidak,13.0,Ya,Tidak,Tidak,436.0,3,Tidak,Tidak,137.0,Ya,Positif,1.4,4,5,5,Tidak,Tidak,3,Ya,1
31,Laki-laki,Karyawan,498.0,Tidak,Tidak,86.0,Tidak,Tidak,Tidak,438.0,3,Tidak,Ya,46.0,Tidak,Netral,2.4,4,2,2,Tidak,Tidak,3,Ya,2
20,Perempuan,Mahasiswa,523.0,Tidak,Tidak,9.0,Tidak,Tidak,Tidak,374.0,1,Tidak,Tidak,61.0,Ya,Campur,1.2,5,3,4,Tidak,Tidak,5,Tidak,1
39,Laki-laki,Guru,307.0,Ya,Ya,82.0,Ya,Tidak,Ya,593.0,5,Ya,Tidak,24.0,Tidak,Negatif,4.7,2,3,2,Ya,Ya,2,Ya,3
25,Perempuan,Wirausaha,503.0,Tidak,Ya,78.0,Tidak,Tidak,Tidak,248.0,1,Tidak,Tidak,52.0,Ya,Positif,1.0,4,4,4,Tidak,Tidak,4,Ya,1
36,Laki-laki,Guru,338.0,Tidak,Tidak,56.0,Tidak,Ya,Ya,483.0,3,Tidak,Ya,38.0,Tidak,Negatif,2.4,2,3,2,Tidak,Ya,4,Tidak,2
24,Perempuan,Freelancer,489.0,Tidak,Tidak,38.0,Tidak,Tidak,Tidak,447.0,2,Ya,Tidak,99.0,Tidak,Positif,2.5,5,3,4,Ya,Tidak,4,Tidak,1
30,Laki-laki,Mahasiswa,303.0,Tidak,Tidak,46.0,Tidak,Tidak,Tidak,515.0,2,Tidak,Ya,34.0,Tidak,Netral,2.9,3,3,4,Tidak,Ya,3,Tidak,2
43,Perempuan,Dokter,348.0,Ya,Tidak,95.0,Tidak,Tidak,Tidak,437.0,3,Tidak,Tidak,73.0,Tidak,Negatif,2.6,3,3,2,Tidak,Ya,3,Ya,2
23,Laki-laki,Irt,538.0,Tidak,Ya,63.0,Tidak,Tidak,Tidak,334.0,2,Tidak,Tidak,104.0,Ya,Positif,1.0,3,4,4,Tidak,Tidak,3,Ya,1
33,Perempuan,Karyawan,304.0,Ya,Tidak,82.0,Ya,Tidak,Tidak,577.0,5,Tidak,Ya,0.0,Tidak,Campur,4.4,1,2,2,Ya,Ya,2,Tidak,3
33,Perempuan,Freelancer,312.0,Tidak,Tidak,62.0,Ya,Ya,Tidak,654.0,4,Tidak,Tidak,59.0,Tidak,Negatif,4.1,1,2,3,Ya,Ya,1,Tidak,3
39,Laki-laki,Guru,333.0,Tidak,Tidak,83.0,Ya,Tidak,Tidak,543.0,5,Ya,Ya,25.0,Tidak,Negatif,4.1,4,2,2,Tidak,Ya,1,Tidak,3
27,Perempuan,Karyawan,432.0,Ya,Tidak,78.0,Tidak,Ya,Ya,248.0,4,Ya,Ya,44.0,Tidak,Negatif,3.7,1,3,2,Tidak,Ya,2,Tidak,3
27,Perempuan,Dokter,226.0,Tidak,Ya,56.0,Tidak,Tidak,Tidak,515.0,3,Ya,Tidak,94.0,Tidak,Netral,3.0,3,3,3,Tidak,Tidak,3,Ya,2
46,Perempuan,Freelancer,283.0,Tidak,Ya,105.0,Tidak,Tidak,Tidak,530.0,4,Ya,Ya,2.0,Tidak,Negatif,5.0,2,3,3,Ya,Ya,2,Tidak,3
47,Laki-laki,Wirausaha,605.0,Tidak,Tidak,27.0,Tidak,Tidak,Tidak,479.0,1,Tidak,Tidak,78.0,Tidak,Netral,1.8,4,4,5,Tidak,Tidak,5,Ya,1
42,Perempuan,Mahasiswa,558.0,Tidak,Tidak,43.0,Tidak,Tidak,Tidak,356.0,2,Tidak,Tidak,60.0,Tidak,Negatif,1.2,4,5,4,Ya,Tidak,4,Ya,1
28,Perempuan,Karyawan,520.0,Ya,Ya,22.0,Tidak,Tidak,Tidak,291.0,1,Tidak,Tidak,79.0,Ya,Positif,1.0,4,5,3,Tidak,Tidak,4,Ya,1
26,Laki-laki,Mahasiswa,504.0,Ya,Tidak,18.0,Tidak,Ya,Tidak,331.0,3,Tidak,Tidak,110.0,Ya,Netral,1.4,4,4,3,Tidak,Tidak,5,Tidak,1
47,Perempuan,Mahasiswa,403.0,Tidak,Tidak,62.0,Tidak,Tidak,Tidak,462.0,3,Ya,Tidak,64.0,Tidak,Campur,2.1,3,2,2,Ya,Tidak,4,Tidak,2
24,Perempuan,Irt,406.0,Tidak,Ya,39.0,Ya,Tidak,Tidak,297.0,1,Tidak,Tidak,106.0,Ya,Negatif,1.7,3,3,4,Tidak,Tidak,5,Tidak,1
42,Perempuan,Karyawan,313.0,Ya,Tidak,123.0,Ya,Tidak,Tidak,479.0,5,Ya,Tidak,52.0,Tidak,Negatif,3.6,2,2,3,Ya,Ya,2,Tidak,3
47,Perempuan,Freelancer,411.0,Ya,Tidak,49.0,Ya,Tidak,Tidak,442.0,3,Tidak,Ya,65.0,Tidak,Negatif,3.1,3,3,2,Ya,Tidak,3,Tidak,2
33,Perempuan,Freelancer,557.0,Tidak,Tidak,58.0,Ya,Tidak,Tidak,332.0,2,Tidak,Tidak,73.0,Ya,Positif,2.3,5,4,4,Tidak,Tidak,4,Ya,1
35,Perempuan,Karyawan,439.0,Tidak,Ya,38.0,Tidak,Tidak,Tidak,423.0,3,Tidak,Tidak,52.0,Ya,Netral,2.7,3,4,3,Ya,Tidak,3,Tidak,2
45,Perempuan,Guru,492.0,Tidak,Tidak,29.0,Tidak,Ya,Tidak,300.0,2,Ya,Tidak,77.0,Ya,Positif,2.5,4,5,4,Tidak,Tidak,4,Ya,1
34,Laki-laki,Karyawan,299.0,Ya,Tidak,79.0,Ya,Ya,Ya,681.0,5,Ya,Ya,34.0,Tidak,Negatif,4.2,2,3,3,Ya,Tidak,1,Tidak,3
46,Perempuan,Guru,460.0,Tidak,Tidak,11.0,Tidak,Tidak,Ya,358.0,3,Tidak,Tidak,83.0,Tidak,Netral,1.7,4,3,4,Tidak,Tidak,4,Ya,1
29,Perempuan,Karyawan,233.0,Ya,Tidak,89.0,Ya,Ya,Tidak,589.0,4,Tidak,Ya,27.0,Ya,Negatif,4.2,2,2,2,Ya,Ya,3,Ya,3
47,Perempuan,Dokter,352.0,Ya,Tidak,93.0,Tidak,Ya,Tidak,632.0,5,Ya,Ya,18.0,Tidak,Negatif,3.4,3,2,1,Ya,Ya,1,Tidak,3
27,Perempuan,Mahasiswa,414.0,Tidak,Tidak,0.0,Tidak,Ya,Tidak,330.0,2,Tidak,Tidak,69.0,Ya,Campur,1.1,4,5,4,Tidak,Tidak,4,Ya,1
28,Laki-laki,Irt,467.0,Tidak,Tidak,72.0,Tidak,Ya,Ya,347.0,2,Tidak,Tidak,48.0,Ya,Positif,1.2,4,4,4,Tidak,Tidak,3,Ya,1
28,Perempuan,Karyawan,400.0,Ya,Ya,92.0,Ya,Tidak,Ya,647.0,5,Ya,Tidak,6.0,Tidak,Campur,4.3,2,3,2,Ya,Tidak,3,Tidak,3
36,Perempuan,Karyawan,354.0,Ya,Ya,56.0,Tidak,Tidak,Tidak,561.0,5,Ya,Ya,0.0,Tidak,Campur,4.1,2,2,3,Ya,Tidak,2,Tidak,3
43,Laki-laki,Dokter,358.0,Ya,Ya,72.0,Ya,Ya,Tidak,618.0,3,Ya,Ya,42.0,Tidak,Negatif,4.0,3,2,2,Ya,Tidak,1,Tidak,3
43,Perempuan,Karyawan,412.0,Ya,Tidak,133.0,Ya,Tidak,Tidak,552.0,4,Ya,Ya,1.0,Tidak,Negatif,3.7,2,2,1,Ya,Tidak,1,Tidak,3
26,Laki-laki,Guru,529.0,Tidak,Tidak,35.0,Tidak,Tidak,Tidak,417.0,2,Tidak,Tidak,46.0,Ya,Positif,1.4,3,5,4,Tidak,Tidak,3,Tidak,1
20,Perempuan,Karyawan,410.0,Tidak,Ya,87.0,Ya,Tidak,Tidak,467.0,3,Tidak,Tidak,38.0,Tidak,Negatif,1.9,2,4,3,Tidak,Tidak,4,Tidak,2
30,Laki-laki,Karyawan,368.0,Tidak,Tidak,0.0,Tidak,Tidak,Tidak,248.0,1,Tidak,Tidak,56.0,Ya,Positif,1.3,4,4,4,Tidak,Tidak,4,Tidak,1
44,Perempuan,Karyawan,313.0,Tidak,Ya,100.0,Ya,Tidak,Ya,653.0,4,Ya,Tidak,22.0,Tidak,Negatif,4.4,2,2,3,Tidak,Ya,2,Tidak,3
23,Laki-laki,Karyawan,413.0,Tidak,Ya,53.0,Tidak,Ya,Ya,479.0,3,Tidak,Tidak,60.0,Ya,Netral,2.1,3,3,3,Ya,Tidak,2,Tidak,2
37,Laki-laki,Dokter,419.0,Tidak,Tidak,25.0,Ya,Tidak,Tidak,637.0,4,Ya,Tidak,52.0,Ya,Positif,3.0,3,2,4,Tidak,Ya,2,Tidak,2
23,Laki-laki,Dokter,391.0,Tidak,Tidak,0.0,Tidak,Tidak,Tidak,285.0,1,Tidak,Ya,67.0,Tidak,Positif,1.6,5,4,3,Tidak,Tidak,4,Ya,1
22,Perempuan,Wirausaha,500.0,Ya,Tidak,15.0,Tidak,Ya,Ya,365.0,2,Tidak,Tidak,76.0,Ya,Positif,1.9,4,4,3,Tidak,Tidak,3,Tidak,1
40,Laki-laki,Guru,533.0,Tidak,Tidak,83.0,Tidak,Tidak,Tidak,284.0,2,Tidak,Tidak,50.0,Ya,Netral,2.1,5,4,5,Ya,Tidak,4,Ya,1
49,Laki-laki,Karyawan,316.0,Ya,Tidak,56.0,Tidak,Ya,Tidak,543.0,4,Ya,Ya,20.0,Tidak,Negatif,3.7,1,2,3,Ya,Ya,2,Tidak,3
43,Perempuan,Guru,445.0,Ya,Ya,70.0,Ya,Tidak,Tidak,482.0,4,Ya,Ya,89.0,Tidak,Negatif,2.6,4,2,2,Tidak,Tidak,4,Ya,2
43,Perempuan,Mahasiswa,298.0,Ya,Ya,102.0,Ya,Tidak,Tidak,658.0,4,Ya,Ya,34.0,Tidak,Negatif,5.0,1,2,2,Tidak,Ya,3,Tidak,3
23,Perempuan,Freelancer,433.0,Tidak,Tidak,45.0,Tidak,Tidak,Ya,410.0,3,Tidak,Tidak,63.0,Ya,Campur,2.5,3,4,3,Tidak,Ya,3,Tidak,2
28,Laki-laki,Wirausaha,601.0,Tidak,Tidak,5.0,Tidak,Tidak,Tidak,375.0,2,Tidak,Ya,117.0,Ya,Campur,1.3,4,4,4,Tidak,Tidak,4,Tidak,1
36,Perempuan,Karyawan,313.0,Ya,Ya,80.0,Ya,Tidak,Ya,605.0,3,Ya,Ya,0.0,Ya,Negatif,4.0,2,2,3,Ya,Ya,1,Tidak,3
22,Perempuan,Karyawan,418.0,Ya,Tidak,100.0,Tidak,Ya,Tidak,516.0,4,Ya,Ya,61.0,Tidak,Negatif,3.6,2,3,1,Ya,Tidak,1,Tidak,3
27,Perempuan,Mahasiswa,463.0,Tidak,Ya,49.0,Ya,Ya,Ya,482.0,3,Ya,Ya,32.0,Ya,Positif,2.3,3,3,1,Ya,Ya,3,Tidak,2
34,Laki-laki,Dokter,322.0,Tidak,Ya,84.0,Tidak,Tidak,Tidak,714.0,2,Tidak,Ya,31.0,Tidak,Campur,4.3,2,1,2,Tidak,Ya,1,Tidak,3
47,Perempuan,Guru,371.0,Tidak,Ya,56.0,Tidak,Tidak,Tidak,457.0,3,Tidak,Tidak,93.0,Tidak,Campur,2.5,4,4,4,Tidak,Tidak,3,Ya,2
35,Perempuan,Karyawan,418.0,Ya,Tidak,67.0,Ya,Ya,Tidak,430.0,3,Tidak,Tidak,45.0,Ya,Netral,2.1,2,2,3,Tidak,Ya,2,Tidak,2
38,Laki-laki,Karyawan,433.0,Tidak,Tidak,29.0,Tidak,Tidak,Tidak,440.0,4,Ya,Ya,49.0,Tidak,Netral,2.8,2,3,2,Ya,Tidak,3,Tidak,2
30,Laki-laki,Karyawan,491.0,Tidak,Tidak,0.0,Tidak,Tidak,Tidak,379.0,1,Tidak,Tidak,85.0,Tidak,Positif,1.4,5,3,3,Tidak,Tidak,4,Ya,1
33,Laki-laki,Dokter,565.0,Tidak,Tidak,12.0,Tidak,Tidak,Tidak,323.0,2,Tidak,Tidak,79.0,Ya,Negatif,1.0,3,4,4,Tidak,Tidak,4,Ya,1
44,Perempuan,Guru,513.0,Tidak,Tidak,6.0,Tidak,Tidak,Tidak,398.0,1,Tidak,Tidak,84.0,Tidak,Netral,1.3,5,4,5,Tidak,Tidak,5,Ya,1
46,Perempuan,Mahasiswa,476.0,Tidak,Ya,37.0,Tidak,Tidak,Tidak,443.0,3,Ya,Tidak,50.0,Ya,Campur,2.9,3,3,2,Tidak,Tidak,4,Tidak,2
30,Laki-laki,Guru,490.0,Ya,Tidak,55.0,Tidak,Ya,Tidak,317.0,1,Tidak,Tidak,137.0,Ya,Negatif,1.5,4,4,4,Tidak,Tidak,4,Ya,1
27,Perempuan,Freelancer,448.0,Tidak,Tidak,68.0,Tidak,Ya,Tidak,566.0,2,Ya,Tidak,63.0,Tidak,Negatif,2.4,3,3,4,Ya,Tidak,2,Tidak,2
36,Laki-laki,Dokter,335.0,Ya,Ya,133.0,Ya,Tidak,Ya,506.0,4,Ya,Tidak,20.0,Ya,Negatif,4.4,1,1,2,Ya,Tidak,2,Tidak,3
41,Perempuan,Irt,597.0,Tidak,Tidak,0.0,Tidak,Tidak,Tidak,365.0,1,Tidak,Tidak,84.0,Ya,Negatif,1.0,4,3,3,Tidak,Tidak,5,Tidak,1
26,Laki-laki,Mahasiswa,446.0,Tidak,Ya,57.0,Ya,Tidak,Tidak,527.0,3,Ya,Ya,81.0,Tidak,Negatif,1.7,4,2,4,Ya,Tidak,3,Tidak,2
47,Laki-laki,Karyawan,251.0,Ya,Ya,83.0,Ya,Tidak,Tidak,578.0,4,Ya,Ya,0.0,Tidak,Negatif,4.3,2,2,3,Ya,Tidak,2,Tidak,3
49,Perempuan,Karyawan,477.0,Tidak,Tidak,23.0,Tidak,Ya,Tidak,336.0,2,Ya,Tidak,97.0,Ya,Negatif,1.5,5,5,4,Tidak,Tidak,3,Tidak,1
22,Perempuan,Mahasiswa,502.0,Tidak,Tidak,56.0,Tidak,Tidak,Tidak,406.0,2,Tidak,Tidak,115.0,Ya,Positif,1.3,4,5,3,Tidak,Tidak,4,Tidak,1
21,Laki-laki,Irt,488.0,Tidak,Tidak,23.0,Tidak,Tidak,Tidak,380.0,2,Tidak,Ya,89.0,Ya,Positif,1.0,4,4,5,Tidak,Ya,4,Tidak,1
24,Laki-laki,Wirausaha,538.0,Tidak,Tidak,42.0,Ya,Tidak,Tidak,491.0,4,Ya,Ya,103.0,Tidak,Positif,2.0,5,5,4,Tidak,Tidak,4,Ya,1
36,Perempuan,Karyawan,310.0,Ya,Ya,108.0,Ya,Ya,Ya,513.0,4,Ya,Ya,30.0,Ya,Negatif,3.6,2,1,3,Ya,Tidak,2,Ya,3
36,Laki-laki,Freelancer,340.0,Tidak,Ya,99.0,Tidak,Tidak,Tidak,576.0,4,Ya,Ya,26.0,Tidak,Netral,3.3,1,2,2,Ya,Ya,1,Tidak,3
29,Perempuan,Karyawan,474.0,Ya,Tidak,57.0,Tidak,Tidak,Ya,439.0,3,Tidak,Tidak,105.0,Tidak,Positif,3.5,4,4,4,Tidak,Tidak,3,Ya,2
43,Laki-laki,Freelancer,255.0,Ya,Tidak,97.0,Ya,Ya,Tidak,603.0,5,Ya,Ya,52.0,Tidak,Negatif,4.4,1,2,3,Tidak,Tidak,2,Tidak,3
34,Laki-laki,Mahasiswa,282.0,Tidak,Ya,86.0,Tidak,Tidak,Tidak,695.0,4,Ya,Ya,24.0,Tidak,Campur,4.1,2,1,2,Ya,Ya,1,Tidak,3
43,Perempuan,Irt,604.0,Tidak,Tidak,50.0,Ya,Ya,Tidak,333.0,2,Tidak,Tidak,89.0,Tidak,Positif,1.5,5,4,4,Tidak,Tidak,5,Ya,1
41,Perempuan,Mahasiswa,317.0,Ya,Ya,100.0,Ya,Ya,Ya,592.0,3,Ya,Tidak,0.0,Tidak,Negatif,4.3,1,1,3,Ya,Ya,1,Ya,3
40,Laki-laki,Dokter,470.0,Ya,Tidak,81.0,Tidak,Tidak,Tidak,386.0,3,Tidak,Tidak,84.0,Ya,Netral,2.8,2,1,3,Tidak,Tidak,4,Ya,2
34,Laki-laki,Dokter,404.0,Tidak,Ya,125.0,Ya,Ya,Tidak,662.0,5,Ya,Tidak,0.0,Tidak,Netral,4.3,1,2,2,Tidak,Tidak,2,Tidak,3
33,Perempuan,Dokter,262.0,Ya,Tidak,90.0,Tidak,Tidak,Tidak,502.0,4,Tidak,Tidak,52.0,Tidak,Negatif,4.5,2,3,2,Tidak,Ya,2,Tidak,3
27,Laki-laki,Karyawan,438.0,Tidak,Tidak,14.0,Ya,Tidak,Tidak,331.0,3,Tidak,Tidak,101.0,Ya,Netral,2.4,5,4,4,Tidak,Tidak,4,Tidak,1
31,Perempuan,Mahasiswa,491.0,Tidak,Tidak,14.0,Tidak,Tidak,Tidak,253.0,1,Tidak,Ya,86.0,Tidak,Positif,1.0,5,4,4,Tidak,Ya,5,Tidak,1
28,Laki-laki,Freelancer,449.0,Tidak,Tidak,62.0,Tidak,Tidak,Tidak,288.0,2,Tidak,Tidak,72.0,Ya,Positif,1.5,4,4,5,Tidak,Tidak,3,Ya,1
41,Laki-laki,Wirausaha,444.0,Tidak,Tidak,42.0,Ya,Tidak,Ya,538.0,2,Tidak,Ya,23.0,Tidak,Negatif,2.9,3,2,4,Tidak,Ya,3,Ya,2
22,Laki-laki,Karyawan,372.0,Ya,Ya,84.0,Ya,Tidak,Tidak,509.0,5,Ya,Tidak,21.0,Ya,Negatif,4.7,1,2,2,Ya,Ya,2,Tidak,3
43,Perempuan,Guru,352.0,Tidak,Tidak,100.0,Ya,Ya,Tidak,609.0,4,Tidak,Ya,52.0,Tidak,Negatif,3.7,2,2,2,Ya,Ya,2,Tidak,3
50,Laki-laki,Wirausaha,487.0,Tidak,Ya,21.0,Tidak,Tidak,Tidak,371.0,2,Tidak,Tidak,52.0,Ya,Positif,2.3,4,5,4,Tidak,Ya,4,Tidak,1
48,Perempuan,Karyawan,455.0,Tidak,Ya,54.0,Ya,Tidak,Tidak,479.0,3,Tidak,Ya,16.0,Tidak,Netral,2.9,3,3,5,Ya,Tidak,3,Tidak,2
37,Perempuan,Dokter,492.0,Tidak,Tidak,27.0,Tidak,Tidak,Tidak,500.0,3,Ya,Tidak,73.0,Tidak,Campur,2.2,3,4,3,Tidak,Tidak,3,Tidak,2
26,Perempuan,Mahasiswa,568.0,Tidak,Ya,56.0,Tidak,Tidak,Tidak,327.0,2,Tidak,Tidak,137.0,Ya,Positif,1.6,4,5,4,Tidak,Tidak,4,Ya,1
22,Perempuan,Mahasiswa,506.0,Tidak,Tidak,6.0,Ya,Tidak,Tidak,347.0,1,Tidak,Ya,59.0,Ya,Netral,1.7,4,4,4,Tidak,Tidak,5,Ya,1
